Online_boarding,Type_of_Travel_Personal Travel,Class_Eco,Inflight_wifi_service,On_board_service,Customer_Type_disloyal Customer,Inflight_entertainment,Checkin_service,Leg_room_service,satisfaction
3,True,True,2,2,False,2,3,3,0
2,False,True,2,4,True,4,1,5,0
4,False,True,2,2,False,2,3,2,0
3,True,True,3,1,False,5,2,1,0
5,False,True,4,3,True,4,3,5,0
2,False,True,2,3,True,4,2,1,0
1,True,True,1,2,False,1,3,3,0
2,False,True,3,5,True,4,2,4,0
4,True,True,4,3,False,5,1,4,0
0,True,False,1,1,False,2,3,3,0
4,True,True,4,2,False,5,3,3,0
4,True,True,2,2,False,2,3,2,0
3,False,True,3,4,True,1,2,1,0
2,True,False,3,3,False,3,3,4,0
3,False,False,4,4,False,4,2,4,0
2,True,True,2,3,False,1,3,4,0
1,False,False,1,5,True,5,4,3,0
5,True,True,2,4,False,4,4,2,0
5,True,True,3,3,False,4,4,4,0
4,False,True,4,3,False,1,4,2,0
4,True,True,3,1,False,1,5,3,0
3,False,False,3,4,True,2,4,2,0
2,True,True,2,3,False,4,4,3,0
0,True,False,2,5,False,3,3,5,0
4,True,True,3,2,False,2,5,3,0
1,True,True,1,4,False,5,4,3,0
2,False,False,2,3,True,3,4,5,0
2,False,True,2,1,True,2,5,2,0
1,True,True,1,4,False,3,1,5,0
1,False,False,1,2,True,3,2,2,0
1,True,True,1,5,False,3,4,4,0
3,False,False,3,5,True,2,4,2,0
3,False,False,2,2,False,2,3,2,0
4,True,False,2,4,False,4,1,2,0
3,True,True,3,5,False,1,4,4,0
3,False,True,3,3,False,3,3,3,0
1,False,False,1,3,True,4,5,5,0
3,False,False,3,5,True,5,3,3,0
0,True,False,4,3,False,1,4,5,0
3,True,False,3,3,False,5,3,2,0
2,True,True,2,4,False,1,4,3,0
2,False,False,2,3,True,4,2,3,0
2,True,True,3,5,False,2,4,4,0
4,True,True,2,4,False,4,4,2,0
4,False,False,4,4,False,4,2,4,0
4,False,False,3,3,False,3,2,3,0
3,True,True,3,3,False,5,3,1,0
4,True,True,1,1,False,1,4,0,0
2,True,False,3,5,False,5,3,3,0
2,False,False,2,4,True,1,3,4,0
4,True,True,2,5,False,5,5,2,0
1,True,True,2,5,False,1,4,2,0
3,False,True,3,4,True,3,3,3,0
5,True,True,2,3,False,3,4,2,0
2,False,True,2,1,False,2,1,3,0
2,False,True,2,3,False,2,2,1,0
1,True,True,1,4,False,4,2,1,0
2,False,False,2,4,True,5,4,5,0
3,False,False,3,1,False,3,3,2,0
4,False,False,4,3,False,4,4,4,0
4,True,True,2,4,False,4,4,2,0
3,False,False,4,3,True,3,3,5,0
3,True,True,3,4,False,4,4,2,0
1,True,True,1,2,False,3,2,4,0
1,False,True,1,1,True,1,4,5,0
4,False,False,4,1,True,2,5,3,0
3,False,False,2,2,False,2,3,2,0
4,False,True,4,4,True,4,5,4,0
0,True,False,1,5,False,2,4,4,0
4,False,True,4,2,True,2,5,1,0
2,False,True,2,4,False,2,4,3,0
3,True,True,3,4,False,2,3,3,0
2,False,False,2,5,True,2,4,4,0
3,False,True,3,4,True,2,2,1,0
3,True,True,3,4,False,2,4,5,0
3,False,False,1,1,False,1,2,1,0
2,False,True,2,3,True,1,2,3,0
2,True,True,2,4,False,5,5,5,0
2,False,False,2,2,False,2,2,2,0
3,True,True,3,5,False,1,5,3,0
3,False,False,3,4,True,1,3,4,0
2,True,True,2,1,False,4,3,4,0
2,False,False,2,4,True,4,3,1,0
2,True,True,2,4,False,3,4,5,0
3,True,True,3,3,False,3,5,4,0
3,False,False,2,2,False,2,2,2,0
1,False,True,1,4,True,1,2,5,0
4,True,True,4,4,False,2,3,4,0
3,True,True,3,1,False,3,3,2,0
3,True,True,3,3,False,5,3,2,0
3,False,True,3,3,True,4,4,3,0
3,True,False,3,5,False,1,3,3,0
2,True,True,2,4,False,3,1,3,0
3,False,True,3,4,True,2,4,3,0
3,False,False,2,2,False,2,4,2,0
2,False,False,2,3,False,2,3,5,0
2,False,False,2,4,False,2,2,2,0
3,True,True,3,4,False,5,5,5,0
4,True,False,2,3,False,3,4,2,0
4,False,True,3,5,True,2,3,3,0
2,True,True,2,4,False,5,1,4,0
1,True,False,1,4,False,3,4,5,0
2,True,True,2,5,False,5,5,2,0
0,True,True,3,5,False,3,3,2,0
2,True,True,2,4,False,3,3,3,0
2,False,False,2,3,True,5,3,3,0
4,True,False,4,3,False,3,5,4,0
4,False,False,1,1,False,1,4,1,0
2,True,True,3,2,False,2,2,3,0
1,False,True,1,4,True,3,3,2,0
3,True,True,3,1,False,4,4,3,0
3,True,True,3,5,False,4,1,2,0
4,True,False,4,2,False,3,5,3,0
4,False,False,4,2,False,4,4,4,0
4,False,False,4,2,True,5,3,1,0
4,False,False,1,3,False,3,3,3,0
3,True,True,3,4,False,2,3,5,0
3,False,True,3,1,True,4,2,1,0
3,False,True,3,4,True,3,2,5,0
4,True,True,2,1,False,1,4,2,0
2,True,True,2,2,False,1,2,5,0
3,False,False,3,1,True,3,1,2,0
3,False,False,3,2,False,2,3,3,0
2,True,True,2,3,False,2,3,3,0
1,True,True,1,3,False,4,3,2,0
4,False,False,3,2,False,3,1,3,0
3,False,False,3,4,False,3,2,2,0
1,True,True,1,4,False,1,3,5,0
3,False,True,3,2,False,3,2,4,0
1,False,True,1,1,True,4,4,1,0
3,False,True,3,3,False,4,4,4,0
3,True,True,3,2,False,1,2,3,0
2,False,False,3,3,True,1,3,3,0
4,True,True,4,4,False,2,4,4,0
4,False,False,3,3,False,3,4,3,0
2,False,False,2,5,True,4,5,2,0
1,True,False,4,4,False,4,3,4,0
2,True,True,2,1,False,5,2,4,0
4,True,True,1,3,False,3,4,2,0
4,True,True,4,4,False,2,2,1,0
2,True,True,2,4,False,4,5,2,0
1,True,False,1,3,False,3,1,2,0
1,False,True,1,2,True,4,2,3,0
2,True,True,3,4,False,4,2,1,0
4,True,False,4,4,False,4,3,4,0
4,True,True,3,1,False,1,4,3,0
4,True,False,3,5,False,5,4,5,0
3,False,True,3,5,True,1,5,4,0
2,False,True,2,1,True,2,4,1,0
3,True,False,3,3,False,3,1,2,0
2,True,True,2,1,False,5,4,3,0
3,True,True,3,3,False,4,1,3,0
3,False,False,3,3,True,3,3,3,0
2,True,True,2,5,False,3,4,2,0
4,True,False,2,3,False,3,4,2,0
3,False,False,3,3,False,3,1,3,0
4,True,False,2,2,False,2,3,2,0
4,True,True,4,3,False,3,4,3,0
2,False,False,1,1,False,1,3,1,0
1,True,True,1,5,False,5,5,4,0
3,False,False,3,3,False,3,1,3,0
4,False,True,3,4,True,1,2,2,0
2,True,False,2,2,False,2,2,2,0
2,False,False,2,2,False,2,3,2,0
4,False,True,4,3,True,4,2,1,0
4,False,True,4,3,True,4,1,4,0
3,False,False,3,3,True,1,3,3,0
3,False,False,4,4,False,4,2,4,0
4,False,False,4,3,True,2,4,4,0
3,False,True,3,2,True,3,2,2,0
4,True,True,4,5,False,3,3,5,0
1,True,False,1,5,False,1,4,5,0
2,False,False,1,3,True,4,2,4,0
3,True,True,3,4,False,5,4,1,0
3,False,True,3,1,True,3,1,1,0
2,False,True,2,1,True,3,3,5,0
4,False,True,2,4,True,3,3,3,0
2,False,True,4,4,False,4,4,4,0
3,True,True,3,3,False,2,4,3,0
4,True,True,4,5,False,2,5,2,0
3,True,True,3,2,False,3,3,5,0
1,False,True,1,2,False,1,4,4,0
3,True,True,3,2,False,3,4,1,0
3,True,False,1,5,False,5,4,1,0
2,False,False,2,3,True,3,5,4,0
1,False,True,1,2,False,1,4,3,0
3,False,False,2,3,False,2,2,2,0
2,False,False,2,4,True,5,5,2,0
4,False,False,4,4,False,4,1,5,0
3,True,False,2,3,False,2,5,3,0
2,False,False,3,2,False,3,2,4,0
3,True,True,3,3,False,3,3,4,0
4,True,True,4,3,False,2,4,1,0
2,True,True,1,3,False,5,5,2,0
2,False,False,2,4,False,3,2,4,0
2,False,True,2,3,True,5,2,3,0
2,False,False,2,1,True,1,2,4,0
4,True,True,3,4,False,4,3,3,0
4,False,False,2,2,False,2,1,2,0
1,True,True,1,4,False,1,4,3,0
1,True,True,1,5,False,4,4,2,0
4,True,True,4,1,False,1,4,2,0
2,True,True,2,5,False,5,4,4,0
4,True,True,1,1,False,1,5,1,0
5,True,False,2,2,False,2,3,2,0
2,True,False,1,5,False,4,4,5,0
1,True,True,1,1,False,2,4,2,0
3,True,True,3,4,False,5,4,4,0
2,True,True,2,5,False,3,5,3,0
0,True,True,3,5,False,5,4,3,0
4,False,True,4,1,True,4,3,3,0
3,False,False,4,4,False,4,4,4,0
4,False,True,4,4,False,4,4,2,0
3,True,True,3,3,False,4,1,5,0
1,False,False,1,3,False,1,3,1,0
1,True,True,1,2,False,2,4,5,0
4,False,False,4,4,False,4,4,3,0
3,True,True,3,2,False,3,2,3,0
2,True,True,2,1,False,3,1,4,0
2,False,False,2,4,False,2,3,3,0
3,True,True,3,3,False,4,3,3,0
4,True,True,2,4,False,4,3,2,0
1,False,True,1,3,False,1,2,4,0
3,True,True,3,4,False,4,4,5,0
2,True,True,2,1,False,2,2,2,0
2,False,True,2,4,True,3,1,3,0
3,False,False,3,3,True,2,3,4,0
4,True,True,4,4,False,5,5,2,0
4,True,False,3,1,False,2,4,3,0
2,True,True,2,5,False,3,2,5,0
2,True,True,2,4,False,2,4,2,0
3,False,True,4,5,False,5,1,4,0
2,False,True,2,3,True,5,4,5,0
2,False,False,2,4,True,5,5,2,0
2,False,True,2,2,True,3,4,3,0
5,True,True,4,3,False,5,4,2,0
3,False,False,2,3,True,1,4,3,0
2,False,False,2,1,False,2,4,5,0
0,False,True,1,3,True,4,3,5,0
3,False,True,3,2,True,2,3,3,0
4,True,True,1,3,False,3,1,1,0
2,False,False,2,4,True,2,4,4,0
2,True,True,2,5,False,4,3,5,0
1,False,False,3,3,False,3,4,3,0
3,False,False,4,4,False,4,1,4,0
3,False,True,3,3,False,3,2,5,0
1,True,True,1,5,False,4,4,2,0
3,True,True,2,4,False,4,3,2,0
3,True,False,4,3,False,3,1,4,0
2,False,False,2,1,False,1,1,3,0
3,True,True,3,4,False,2,2,5,0
2,False,True,2,1,True,3,4,2,0
1,False,False,2,5,False,2,2,3,0
4,True,True,3,2,False,2,3,0,0
3,True,True,1,5,False,5,2,1,0
2,False,True,2,2,True,2,3,4,0
2,True,True,2,4,False,3,3,2,0
3,True,False,3,4,False,4,3,5,0
4,True,True,4,4,False,3,1,2,0
4,False,False,2,2,False,2,2,2,0
3,True,True,2,2,False,3,3,3,0
1,False,False,2,2,False,2,4,2,0
3,False,True,3,1,False,3,1,3,0
4,True,True,4,5,False,5,5,5,0
1,False,False,1,3,False,1,3,3,0
2,False,True,2,1,False,2,4,1,0
4,False,True,4,4,True,4,3,1,0
2,True,True,2,3,False,4,3,3,0
2,False,True,2,4,False,2,4,3,0
2,True,True,2,4,False,4,4,3,0
1,True,True,2,3,False,4,1,4,0
2,False,False,2,4,False,2,4,5,0
2,False,False,3,3,False,3,4,3,0
3,False,False,3,3,False,3,4,3,0
2,False,False,2,3,False,2,1,1,0
3,False,False,2,2,False,2,2,1,0
3,False,False,1,1,False,1,3,1,0
4,False,False,3,1,False,1,3,2,0
2,True,True,2,4,False,5,2,2,0
0,True,True,3,3,False,4,5,3,0
1,False,False,1,4,True,1,5,1,0
3,False,False,1,1,False,1,1,1,0
4,True,True,4,1,False,3,3,5,0
3,False,True,3,3,True,3,2,2,0
1,False,True,1,1,True,2,4,5,0
3,True,True,3,3,False,1,4,3,0
3,False,False,3,4,False,4,3,3,0
1,False,False,1,1,False,1,3,1,0
4,True,True,4,5,False,4,3,3,0
2,True,True,2,4,False,4,2,3,0
2,False,True,2,3,False,2,2,4,0
4,True,False,2,1,False,1,4,2,0
5,True,True,3,3,False,3,5,4,0
2,True,False,1,3,False,3,3,4,0
3,False,False,4,4,False,4,1,4,0
1,False,True,1,4,False,1,1,3,0
4,True,True,4,1,False,2,4,5,0
2,False,False,1,1,False,1,3,1,0
3,True,True,3,2,False,2,2,2,0
1,True,False,1,5,False,5,3,3,0
4,True,True,2,5,False,5,3,2,0
3,True,True,3,5,False,4,3,5,0
1,False,True,1,1,True,5,2,3,0
3,False,False,4,4,True,4,1,4,0
4,False,False,3,3,False,3,4,3,0
4,False,False,4,1,False,4,1,3,0
2,True,True,2,5,False,5,3,1,0
1,False,True,2,1,True,4,3,5,0
3,False,False,2,2,False,2,1,2,0
4,False,True,4,1,False,4,2,4,0
1,True,True,1,4,False,5,3,5,0
4,True,True,3,3,False,1,3,5,0
3,True,True,3,3,False,1,2,2,0
1,False,False,2,2,False,1,2,2,0
3,True,True,3,1,False,1,2,4,0
1,False,True,2,1,True,1,2,5,0
4,True,True,4,4,False,3,4,5,0
2,False,True,2,3,True,5,1,1,0
2,True,True,2,3,False,5,3,3,0
4,True,True,4,3,False,3,3,5,0
1,True,True,1,4,False,4,1,5,0
2,False,True,2,4,True,1,3,3,0
3,True,False,3,5,False,5,5,4,0
1,False,False,1,3,True,5,3,5,0
4,True,True,2,3,False,3,4,2,0
4,False,True,2,2,False,2,1,2,0
2,False,False,2,2,False,2,1,1,0
1,False,False,1,4,False,1,4,5,0
4,True,True,3,2,False,3,4,5,0
4,True,True,3,4,False,2,4,3,0
2,False,False,1,1,False,1,4,2,0
3,False,True,4,2,True,2,1,1,0
3,False,False,3,2,False,3,4,4,0
4,True,True,4,3,False,1,2,4,0
2,False,True,2,1,False,2,1,1,0
3,True,True,3,3,False,4,1,5,0
2,True,True,2,4,False,1,4,4,0
4,True,False,4,4,False,2,5,3,0
2,False,False,2,1,False,2,1,1,0
3,True,True,3,3,False,3,1,3,0
1,False,True,1,2,True,3,3,4,0
3,False,False,3,2,True,2,2,2,0
4,False,True,4,4,False,4,4,3,0
2,False,True,2,1,True,5,2,3,0
4,True,True,3,3,False,5,3,5,0
4,False,True,4,2,False,4,3,3,0
1,True,True,1,5,False,3,5,5,0
4,False,False,2,2,False,2,3,2,0
2,True,True,2,5,False,4,2,1,0
3,True,True,4,3,False,3,3,4,0
3,False,False,3,2,False,3,2,4,0
4,True,True,4,3,False,2,3,3,0
2,False,False,2,3,True,2,3,1,0
2,False,True,2,3,False,2,1,3,0
1,True,True,1,5,False,1,3,3,0
1,True,True,1,3,False,1,4,5,0
3,True,True,3,4,False,5,1,5,0
0,False,True,1,3,False,5,1,3,0
1,True,False,2,2,False,2,1,2,0
3,True,True,3,4,False,3,5,3,0
2,False,True,1,4,True,4,4,3,0
3,False,True,3,1,True,3,1,1,0
3,True,True,3,3,False,3,3,2,0
3,True,False,4,4,False,4,2,4,0
2,False,False,2,2,True,1,3,3,0
5,True,True,3,4,False,4,4,4,0
5,True,True,3,2,False,2,3,3,0
1,False,False,2,2,False,2,4,2,0
1,True,False,1,2,False,5,5,1,0
2,True,True,2,4,False,1,4,2,0
3,False,False,3,2,False,3,1,2,0
1,False,False,1,5,True,4,3,5,0
4,False,True,4,1,True,4,1,2,0
2,True,True,3,4,False,5,5,3,0
4,False,False,3,3,False,3,3,3,0
3,False,True,3,3,False,3,3,2,0
5,True,True,3,1,False,1,5,3,0
1,True,True,1,4,False,3,1,1,0
4,True,True,1,5,False,5,4,1,0
1,True,True,1,3,False,1,4,3,0
3,True,True,3,5,False,1,2,5,0
2,False,False,2,1,False,2,2,5,0
2,False,True,2,1,False,2,4,3,0
2,True,True,2,1,False,4,1,1,0
3,False,False,4,4,False,4,3,4,0
1,False,True,3,2,False,4,3,4,0
5,True,True,2,4,False,4,3,2,0
1,False,False,1,1,False,1,1,4,0
2,False,False,2,1,True,2,1,2,0
3,True,False,1,1,False,1,1,3,0
1,False,True,1,1,False,1,4,1,0
3,True,True,2,4,False,3,3,4,0
2,False,False,2,3,False,2,2,2,0
4,True,True,2,5,False,5,3,2,0
2,False,True,2,5,True,2,3,5,0
5,True,True,1,4,False,4,5,1,0
1,True,True,1,2,False,4,3,2,0
2,False,True,1,4,True,4,1,1,0
3,True,False,3,3,False,1,3,4,0
2,False,False,2,4,True,5,5,4,0
4,False,True,2,1,False,1,1,2,0
4,True,True,1,2,False,2,1,1,0
5,True,True,3,5,False,5,5,2,0
4,False,True,3,3,False,3,1,3,0
3,True,True,3,1,False,2,4,4,0
4,False,False,2,2,False,2,1,2,0
3,False,True,3,2,True,2,1,1,0
3,True,False,3,5,False,5,4,3,0
3,True,True,3,5,False,5,1,2,0
2,True,True,2,4,False,2,4,1,0
4,True,True,4,4,False,3,5,2,0
2,False,False,2,2,False,2,1,2,0
5,True,True,3,4,False,3,2,4,0
5,True,True,4,3,False,3,3,4,0
3,False,False,3,3,True,4,3,3,0
4,False,False,4,2,False,4,3,4,0
4,True,True,3,3,False,3,3,3,0
1,False,True,1,4,False,1,1,2,0
2,False,True,2,1,True,5,2,5,0
1,True,True,1,5,False,4,5,3,0
3,True,True,3,4,False,5,3,2,0
1,False,False,1,3,True,3,3,5,0
4,False,False,4,4,False,4,1,3,0
5,True,True,3,4,False,5,4,4,0
2,True,False,2,5,False,3,5,3,0
1,True,True,2,4,False,1,4,3,0
4,True,True,2,5,False,5,4,3,0
1,False,False,4,2,True,3,5,4,0
1,True,True,1,3,False,4,2,1,0
1,True,True,1,4,False,2,5,4,0
1,False,True,1,4,True,1,1,5,0
3,True,True,3,4,False,2,3,5,0
3,False,False,3,1,False,3,2,3,0
3,True,True,3,2,False,2,3,3,0
4,False,True,4,3,False,4,3,1,0
1,False,True,1,1,False,1,2,3,0
2,False,True,2,1,False,2,4,5,0
2,True,True,2,1,False,2,4,1,0
2,True,True,2,5,False,4,4,3,0
1,True,True,1,3,False,2,3,2,0
2,True,True,2,3,False,2,2,4,0
1,True,True,1,4,False,2,4,2,0
2,True,True,2,3,False,2,4,4,0
5,True,False,3,3,False,3,3,3,0
2,False,True,2,3,True,4,2,3,0
2,True,True,2,4,False,3,4,1,0
1,False,False,1,5,True,5,3,2,0
0,True,True,3,4,False,4,5,3,0
2,False,True,2,3,True,1,1,4,0
3,False,True,3,3,True,3,3,4,0
2,True,True,2,5,False,2,5,3,0
3,True,False,3,5,False,3,4,2,0
